Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Location
Tuthilltown Gristmill,Ulster,06/14/1982,90NR01060,-74.1789,41.6843271513,"(41.68432715130, -74.17890000000)"
Fort Tryon Park And The Cloisters,New York,12/19/1978,90NR00947,-73.9321,40.8623481364,"(40.86234813640, -73.93210000000)"
Planting Fields Arboretum,Nassau,01/25/1979,90NR01949,-73.5572,40.8619160063,"(40.86191600630, -73.55720000000)"
Market Street Historic District,St. Lawrence,11/16/1979,90NR02575,-74.987,44.6696682577,"(44.66966825770, -74.98700000000)"
Alcove Historic District,Albany,07/24/1980,90NR02765,-73.926,42.4693353744,"(42.46933537440, -73.92600000000)"
Boonville Historic District,Oneida,11/16/1979,90NR02076,-75.3378,43.4845529235,"(43.48455292350, -75.33780000000)"
East Avenue Historic District,Monroe,04/17/1979,90NR01468,-77.5802,43.1513948689,"(43.15139486890, -77.58020000000)"
Waterville Triangle Historic District,Oneida,04/04/1978,90NR02082,-75.3783,42.930654835,"(42.93065483500, -75.37830000000)"
Albany Rural Cemetery,Albany,10/25/1979,90NR02835,-73.7339,42.7078635483,"(42.70786354830, -73.73390000000)"
Poughkeepsie Railroad Bridge,Dutchess,02/23/1979,90NR00370,-73.9408,41.7106498985,"(41.71064989850, -73.94080000000)"
"Dodge, Lillian Sefton, Estate",Nassau,07/22/1979,90NR01952,-73.5583,40.8793332205,"(40.87933322050, -73.55830000000)"
West Stockholm Historic District,St. Lawrence,11/20/1979,90NR02561,-74.901,44.7133485322,"(44.71334853220, -74.90100000000)"
Horseheads 1855 Extension Historic District,Chemung,07/30/1980,90NR00147,-76.8215,42.1629244737,"(42.16292447370, -76.82150000000)"
"Wiswall, Oliver, House",Columbia,09/04/1980,90NR00231,-73.8092,42.2457323443,"(42.24573234430, -73.80920000000)"
Historic Track,Orange,10/15/1966,90NR02337,-74.3186,41.4021816413,"(41.40218164130, -74.31860000000)"
Cooperstown Historic District,Otsego,11/18/1980,90NR02190,-74.9262,42.7027129982,"(42.70271299820, -74.92620000000)"
DeRham Farm,Putnam,03/28/1980,90NR02362,-73.9343,41.4058315514,"(41.40583155140, -73.93430000000)"
General Electric Realty Plot,Schenectady,11/18/1980,90NR02660,-73.9202,42.816950569,"(42.81695056900, -73.92020000000)"
South Otselic Historic District,Chenango,09/08/1983,90NR00155,-75.782,42.6471943133,"(42.64719431330, -75.78200000000)"
Carroll Gardens Historic District,Kings,09/26/1983,90NR01316,-73.9936,40.6801293982,"(40.68012939820, -73.99360000000)"
Hamilton Heights Historic District,New York,09/30/1983,90NR00859,-73.9473,40.8231056447,"(40.82310564470, -73.94730000000)"
IRT Broadway Line Viaduct,New York,09/15/1983,90NR00846,-73.9582,40.8158656536,"(40.81586565360, -73.95820000000)"
Hudson Falls Historic District,Washington,09/15/1983,90NR02751,-73.5843,43.3011604739,"(43.30116047390, -73.58430000000)"
Katonah Village Historic District,Westchester,09/15/1983,90NR02427,-73.6857,41.2578313683,"(41.25783136830, -73.68570000000)"
Near Westside Historic District,Chemung,12/22/1983,90NR00145,-76.8162,42.0866399413,"(42.08663994130, -76.81620000000)"
Bouwerie,Columbia,10/07/1983,90NR00222,-73.8129,42.0899068508,"(42.08990685080, -73.81290000000)"
Cincinnatus Historic District,Cortland,09/07/1984,90NR00261,-75.9025,42.5425663756,"(42.54256637560, -75.90250000000)"
Andes Historic District,Delaware,06/28/1984,90NR00285,-74.7806,42.1900329916,"(42.19003299160, -74.78060000000)"
Fort Greene Historic District,Kings,09/26/1983,90NR01318,-73.9736,40.6889735654,"(40.68897356540, -73.97360000000)"
Warwick Village Historic District,Orange,09/07/1984,90NR02341,-74.3567,41.2594507903,"(41.25945079030, -74.35670000000)"
Fort Tilden Historic District,Queens,04/20/1984,90NR01571,-73.8938,40.5609037891,"(40.56090378910, -73.89380000000)"
Greenport Village Historic District,Suffolk,09/13/1984,90NR01922,-72.3625,41.1067821685,"(41.10678216850, -72.36250000000)"
Belcher Family Homestead and Farm,Tioga,07/02/1984,90NR02227,-76.1879,42.2840464129,"(42.28404641290, -76.18790000000)"
Hawes Homestead,Schenectady,10/11/1984,90NR02627,-74.2102,42.7931589607,"(42.79315896070, -74.21020000000)"
Jenkins Octagon House,Schenectady,10/11/1984,90NR02629,-74.1833,42.7590477326,"(42.75904773260, -74.18330000000)"
Macomber Stone House,Schenectady,10/11/1984,90NR02636,-74.214,42.7216392589,"(42.72163925890, -74.21400000000)"
Arbor Hill Historic District,Albany,09/29/1984,90NR02805,-73.7521,42.6576803443,"(42.65768034430, -73.75210000000)"
O'Kane Market and O'Kane Building,Monroe,09/12/1985,90NR01480,-77.626,43.1430918722,"(43.14309187220, -77.62600000000)"
Chestnut Street Historic District,Ulster,09/19/1985,90NR01104,-73.9887,41.9239317196,"(41.92393171960, -73.98870000000)"
"Chevalier, Xavier, House",Jefferson,09/27/1985,90NR01120,-76.2437,44.160227678,"(44.16022767800, -76.24370000000)"
"Docteur, Joseph, House",Jefferson,09/27/1985,90NR01123,-76.235,44.1188326624,"(44.11883266240, -76.23500000000)"
Halsey Estate-Tallwood,Suffolk,09/26/1985,90NR01821,-73.4306,40.82605635,"(40.82605635000, -73.43060000000)"
Goose Hill Road Historic District,Suffolk,09/26/1985,90NR01820,-73.4527,40.8782931093,"(40.87829310930, -73.45270000000)"
Cazenovia Village Historic District,Madison,06/19/1986,90NR01444,-75.859,42.9268989247,"(42.92689892470, -75.85900000000)"
Cedarmere-Clayton Estates Historic District,Nassau,09/29/1986,90NR01956,-73.6399,40.8105541948,"(40.81055419480, -73.63990000000)"
Wickapogue Road Historic District,Suffolk,10/02/1986,90NR01919,-72.3665,40.8867666509,"(40.88676665090, -72.36650000000)"
Echo Camp,Hamilton,11/07/1986,90NR00580,-74.6352,43.8241020908,"(43.82410209080, -74.63520000000)"
Progue House,Dutchess,07/09/1987,90NR00345,-73.8795,41.8893899328,"(41.88938993280, -73.87950000000)"
Marquardt Farm,Dutchess,07/09/1987,90NR00339,-73.8677,41.8859682097,"(41.88596820970, -73.86770000000)"
"Traver, J.E., Farm",Dutchess,07/09/1987,90NR00357,-73.8786,41.9262734673,"(41.92627346730, -73.87860000000)"
Grasmere,Dutchess,07/09/1987,90NR00334,-73.9115,41.913562512,"(41.91356251200, -73.91150000000)"
"Barron, Thomas, House",Ontario,10/06/1988,90NR01985,-77.0339,42.8606359352,"(42.86063593520, -77.03390000000)"
East Hill Historic District,Tompkins,08/14/1986,90NR02264,-76.4903,42.4403835688,"(42.44038356880, -76.49030000000)"
"Vanderbilt, William K., Estate Eagle's Nest""""",Suffolk,09/26/1985,90NR01852,-73.3683,40.9053147054,"(40.90531470540, -73.36830000000)"
"Remp, Michael, House",Suffolk,09/26/1985,90NR01839,-73.3528,40.8468692922,"(40.84686929220, -73.35280000000)"
Merestead - Sloane Estate,Westchester,09/27/1984,90NR02428,-73.7043,41.1784245473,"(41.17842454730, -73.70430000000)"
Southampton Village Historic District,Suffolk,04/25/1988,90NR01920,-72.3959,40.8774648735,"(40.87746487350, -72.39590000000)"
Ocean Parkway,Kings,09/08/1983,90NR01303,-73.9688,40.6108303642,"(40.61083036420, -73.96880000000)"
Eastern Parkway,Kings,09/26/1983,90NR01317,-73.9464,40.6700638868,"(40.67006388680, -73.94640000000)"
Canandaigua Historic District,Ontario,04/26/1984,90NR01998,-77.2821,42.8916044043,"(42.89160440430, -77.28210000000)"
Cobleskill Historic District,Schoharie,09/18/1978,90NR02684,-74.4848,42.6770966013,"(42.67709660130, -74.48480000000)"
Fort Ticonderoga,Essex,10/15/1966,90NR00472,-73.3948,43.8356513428,"(43.83565134280, -73.39480000000)"
Fort Ticonderoga,Essex,10/15/1966,90NR00472,-73.4209,43.8541410421,"(43.85414104210, -73.42090000000)"
Abell Farmhouse and Barn,Madison,11/02/1987,90NR01403,-75.8253,42.9023629102,"(42.90236291020, -75.82530000000)"
"Sands, Robert, Estate",Dutchess,02/24/1975,90NR00325,-73.8765,41.9352765481,"(41.93527654810, -73.87650000000)"
Cambridge Historic District,Washington,11/15/1978,90NR02759,-73.3817,43.0267722705,"(43.02677227050, -73.38170000000)"
Union Avenue Historic District,Saratoga,04/04/1978,90NR02598,-73.7639,43.0724734081,"(43.07247340810, -73.76390000000)"
Broadway Historic District,Saratoga,09/13/1979,90NR02600,-73.7801,43.0871350151,"(43.08713501510, -73.78010000000)"
East Side Historic District,Saratoga,10/29/1982,90NR02601,-73.7778,43.0804759885,"(43.08047598850, -73.77780000000)"
Broadway Historic District,Saratoga,09/13/1979,90NR02600,-73.7831,43.0900530858,"(43.09005308580, -73.78310000000)"
Center Square/Hudson-Park Historic District,Albany,03/18/1980,90NR00012,-73.7649,42.6523436642,"(42.65234366420, -73.76490000000)"
Downtown Albany Historic District,Albany,01/31/1980,89NR00009,-73.7516,42.6501188205,"(42.65011882050, -73.75160000000)"
Main Street Historic District,Livingston,07/09/1977,90NR01377,-77.8137,42.8017027336,"(42.80170273360, -77.81370000000)"
Howard Homestead,Schenectady,10/11/1984,90NR02628,-74.2314,42.7807204029,"(42.78072040290, -74.23140000000)"
Avery Farmhouse,Schenectady,10/11/1984,90NR02617,-74.2352,42.7712378428,"(42.77123784280, -74.23520000000)"
"Jones, A.D. (Boss), House",Schenectady,10/11/1984,90NR02630,-74.214,42.7741995488,"(42.77419954880, -74.21400000000)"
Clinton Avenue Historic District,Albany,09/01/1988,89NR00006,-73.7601,42.6601714689,"(42.66017146890, -73.76010000000)"
"Eagle's Rest (Rupert, Jacob, Estate)",Putnam,11/23/1982,90NR02365,-73.9376,41.3974951245,"(41.39749512450, -73.93760000000)"
Normandy Grange,Putnam,11/23/1982,90NR02373,-73.9312,41.39223397,"(41.39223397000, -73.93120000000)"
Montour Falls Historic District,Schuyler,08/31/1978,90NR02205,-76.8494,42.3445282242,"(42.34452822420, -76.84940000000)"
Clermont Estates Historic District,Columbia,05/07/1979,90NR00221,-73.9094,42.1003801191,"(42.10038011910, -73.90940000000)"
Astor Home for Children,Dutchess,07/09/1987,90NR00455,-73.9129,41.9232454414,"(41.92324544140, -73.91290000000)"
"Grove, The",Dutchess,07/09/1987,90NR00335,-73.8772,41.9404348188,"(41.94043481880, -73.87720000000)"
Brykill,Ulster,09/26/1983,90NR01064,-74.2163,41.6658535607,"(41.66585356070, -74.21630000000)"
Mott Haven Historic District,Bronx,03/25/1980,90NR00035,-73.9205,40.8099587247,"(40.80995872470, -73.92050000000)"
Sagamore Hotel Complex,Warren,07/21/1983,90NR02689,-73.646,43.5571357697,"(43.55713576970, -73.64600000000)"
Sagamore Hotel Complex,Warren,07/21/1983,90NR02689,-73.6641,43.5856419361,"(43.58564193610, -73.66410000000)"
Central Ridgewood Historic District,Queens,09/30/1983,90NR01596,-73.8982,40.7034605992,"(40.70346059920, -73.89820000000)"
Sackets Harbor Battlefield,Jefferson,12/31/1974,90NR01190,-76.1341,43.9454544258,"(43.94545442580, -76.13410000000)"
Madison Barracks,Jefferson,11/21/1974,90NR01189,-76.1092,43.9529617977,"(43.95296179770, -76.10920000000)"
Plattsburgh Bay,Clinton,10/15/1966,90NR00172,-73.4139,44.6874735179,"(44.68747351790, -73.41390000000)"
Cobble Hill Historic District,Kings,06/11/1976,90NR01286,-73.9964,40.6873635405,"(40.68736354050, -73.99640000000)"
Park Slope Historic District,Kings,11/21/1980,90NR01341,-73.9754,40.6713347358,"(40.67133473580, -73.97540000000)"
"Hait, Thaddeus, Farm",Ulster,12/29/1988,90NR01075,-74.0947,41.677463293,"(41.67746329300, -74.09470000000)"
"Woodlawn (Gordon, Malcolm, School)",Putnam,11/23/1982,90NR02379,-73.9369,41.3913625139,"(41.39136251390, -73.93690000000)"
Locust Lawn Estate,Ulster,05/17/1974,90NR01059,-74.1003,41.6967090127,"(41.69670901270, -74.10030000000)"
Union Street Historic District,Dutchess,12/09/1971,90NR00433,-73.9339,41.7041539007,"(41.70415390070, -73.93390000000)"
Lorenzo,Madison,02/18/1971,90NR01443,-75.8657,42.9228998552,"(42.92289985520, -75.86570000000)"
West Point Foundry,Putnam,04/11/1973,90NR02387,-73.9525,41.4136690607,"(41.41366906070, -73.95250000000)"
U.S. Military Academy,Orange,10/15/1966,90NR02302,-73.9723,41.3953296931,"(41.39532969310, -73.97230000000)"
Camp Pine Knot,Hamilton,11/07/1986,90NR00579,-74.6236,43.8213716213,"(43.82137162130, -74.62360000000)"
New York Botanical Garden,Bronx,05/28/1967,90NR00041,-73.8772,40.8622867219,"(40.86228672190, -73.87720000000)"
Susquehannah Turnpike,Greene,01/02/1974,90NR00552,-74.0519,42.3309380182,"(42.33093801820, -74.05190000000)"
Old Croton Aqueduct,Westchester,12/02/1974,90NR02435,-73.8727,41.0507215016,"(41.05072150160, -73.87270000000)"
Bear Mountain Bridge Rd.,Westchester,04/19/1979,90NR02432,-73.9659,41.3098536606,"(41.30985366060, -73.96590000000)"
Old Albany Post Road,Putnam,07/08/1982,90NR02363,-73.9032,41.3778131717,"(41.37781317170, -73.90320000000)"
Three Squares Historic District,Warren,09/29/1984,90NR02732,-73.6457,43.3100140391,"(43.31001403910, -73.64570000000)"
Old Champlain Canal,Saratoga,09/01/1976,90NR02762,-73.5388,43.3119855756,"(43.31198557560, -73.53880000000)"
Old Champlain Canal,Saratoga,09/01/1976,90NR02762,-73.4168,43.5122228354,"(43.51222283540, -73.41680000000)"
Old Champlain Canal,Saratoga,09/01/1976,90NR02762,-73.6825,42.8246684744,"(42.82466847440, -73.68250000000)"
Old Champlain Canal,Saratoga,09/01/1976,90NR02762,-73.6763,42.9204193861,"(42.92041938610, -73.67630000000)"
Old Champlain Canal,Saratoga,09/01/1976,90NR02762,-73.6233,42.9831063842,"(42.98310638420, -73.62330000000)"
Northside Historic District,Saratoga,12/04/1975,90NR02612,-73.6939,42.7849628562,"(42.78496285620, -73.69390000000)"
Brooklyn Heights Historic District,Kings,10/15/1966,90NR01325,-73.995,40.6954103674,"(40.69541036740, -73.99500000000)"
Franklin Square Historic District,Oswego,08/04/1982,90NR02152,-76.5159,43.4573894961,"(43.45738949610, -76.51590000000)"
Peebles (Peobles) Island,Albany,10/02/1973,90NR02593,-73.6869,42.7818915779,"(42.78189157790, -73.68690000000)"
"Wing, William R., Farm Complex",Schenectady,10/11/1984,90NR02643,-74.237,42.7647289253,"(42.76472892530, -74.23700000000)"
Shute Octagon House,Schenectady,10/11/1984,90NR02641,-74.219,42.7745483804,"(42.77454838040, -74.21900000000)"
Scarborough Historic District,Westchester,09/07/1984,90NR02457,-73.8553,41.1285567509,"(41.12855675090, -73.85530000000)"
Montauk Association Historic District,Suffolk,10/22/1976,90NR01787,-71.9062,41.044045875,"(41.04404587500, -71.90620000000)"
Caleb Bragg Estate,Suffolk,11/02/1987,90NR01793,-71.9335,41.0721464408,"(41.07214644080, -71.93350000000)"
Chautauqua Institution Historic District,Chautauqua,06/19/1973,90NR00107,-79.4667,42.209810655,"(42.20981065500, -79.46670000000)"
Thomas Indian School,Erie,01/25/1973,90NR01204,-78.9964,42.5396767392,"(42.53967673920, -78.99640000000)"
Pierce Arrow Factory Complex,Erie,10/01/1974,90NR01237,-78.8738,42.9429521469,"(42.94295214690, -78.87380000000)"
Roycroft Campus,Erie,11/08/1974,90NR01252,-78.6183,42.7670356247,"(42.76703562470, -78.61830000000)"
Wyoming Village Historic District,Wyoming,12/27/1974,90NR02044,-78.0874,42.8270137738,"(42.82701377380, -78.08740000000)"
Orleans County Courthouse Historic District,Orleans,08/31/1979,90NR02011,-78.1931,43.2457626059,"(43.24576260590, -78.19310000000)"
"Williams, Johann, Farm",Niagara,01/10/1980,90NR01968,-78.9428,43.0912968609,"(43.09129686090, -78.94280000000)"
Gifford-Walker Farm,Genesee,01/10/1980,90NR00521,-78.0147,43.1306209207,"(43.13062092070, -78.01470000000)"
Genesee County Courthouse Historic District,Genesee,12/10/1982,90NR00529,-78.187,42.9983403629,"(42.99834036290, -78.18700000000)"
Riverside Park,Erie,03/30/1982,90NR01219,-78.9088,42.9556537224,"(42.95565372240, -78.90880000000)"
"King, Martin Luther Jr., Park",Erie,03/30/1982,90NR01218,-78.8405,42.9054154465,"(42.90541544650, -78.84050000000)"
McMahan Homestead (Landmark Acres),Chautauqua,09/26/1983,90NR00123,-79.5906,42.3115312538,"(42.31153125380, -79.59060000000)"
"Wright, Reuben Gridley, Farm Complex",Chautauqua,09/26/1983,90NR00129,-79.5651,42.3339235118,"(42.33392351180, -79.56510000000)"
East Main Street Historic District,Chautauqua,12/16/1983,90NR00133,-79.5696,42.3265872652,"(42.32658726520, -79.56960000000)"
French Portage Road Historic District,Chautauqua,12/16/1983,90NR00134,-79.5762,42.3201732982,"(42.32017329820, -79.57620000000)"
New York Central Terminal,Erie,09/07/1984,90NR01233,-78.831,42.888641363,"(42.88864136300, -78.83100000000)"
Mount Pleasant,Genesee,08/09/1984,90NR00522,-78.3427,43.0126660428,"(43.01266604280, -78.34270000000)"
Silver Lake Institute Historic District,Wyoming,09/19/1985,90NR02038,-78.0218,42.6994955099,"(42.69949550990, -78.02180000000)"
Parkside Subdivision (East) Historic District,Erie,10/17/1986,90NR01239,-78.849,42.9369007493,"(42.93690074930, -78.84900000000)"
Parkside Subdivision (West) Historic District,Erie,12/10/1986,89NR00003,-78.8663,42.9376415372,"(42.93764153720, -78.86630000000)"
Belvidere,Allegany,03/16/1972,90NR00020,-78.0498,42.2653950267,"(42.26539502670, -78.04980000000)"
Niagara Reservation,Niagara,10/15/1966,90NR01961,-79.0637,43.0819504094,"(43.08195040940, -79.06370000000)"
Old Fort Niagara,Niagara,10/09/1960,90NR01958,-79.0611,43.2627165002,"(43.26271650020, -79.06110000000)"
Lowertown Historic District,Niagara,06/04/1973,90NR01973,-78.6764,43.1806090507,"(43.18060905070, -78.67640000000)"
Mt. Albion Cemetery,Orleans,09/27/1976,90NR02010,-78.1572,43.2397626093,"(43.23976260930, -78.15720000000)"
Angelica Park Circle Historic District,Allegany,01/31/1978,90NR00029,-78.0138,42.3066841366,"(42.30668413660, -78.01380000000)"
Cazenovia Park - South Park System,Erie,03/30/1982,90NR01246,-78.8158,42.8387216564,"(42.83872165640, -78.81580000000)"
Buffalo State Hospital,Erie,01/12/1973,90NR01206,-78.8827,42.9300687928,"(42.93006879280, -78.88270000000)"
Delaware Park - Front Park System,Erie,03/30/1982,90NR01217,-78.8683,42.9304626793,"(42.93046267930, -78.86830000000)"
Lockport Industrial District,Niagara,11/11/1975,90NR01975,-78.691,43.1737905126,"(43.17379051260, -78.69100000000)"
Montgomery County Poor Farm,Montgomery,08/05/1982,90NR01534,-74.4896,42.9016573431,"(42.90165734310, -74.48960000000)"
Valcour Bay,Clinton,10/15/1966,90NR00171,-73.433,44.6230163338,"(44.62301633380, -73.43300000000)"
Schenectady City Hall and Post Office,Schenectady,10/11/1978,90NR02658,-73.9392,42.8144982062,"(42.81449820620, -73.93920000000)"
"Brown, John, Farm",Essex,06/19/1972,90NR00470,-73.9715,44.2496979534,"(44.24969795340, -73.97150000000)"
Skaneateles Historic District,Onondaga,05/10/1984,90NR02132,-76.4257,42.9457153388,"(42.94571533880, -76.42570000000)"
Rutger-Steuben Park Historic District,Oneida,09/19/1973,90NR02056,-75.2293,43.0967479892,"(43.09674798920, -75.22930000000)"
Forest Lawn Cemetery,Erie,05/10/1990,90NR03149,-78.8614,42.9271815673,"(42.92718156730, -78.86140000000)"
Vanderbilt Mansion National Historic Site,Dutchess,10/15/1966,90NR00307,-73.9421,41.7971636197,"(41.79716361970, -73.94210000000)"
Washington Park Historic District,Rensselaer,05/25/1973,90NR00986,-73.6924,42.7243195672,"(42.72431956720, -73.69240000000)"
Kingston Stockade Historic District,Ulster,06/13/1975,90NR01099,-74.0196,41.9339327688,"(41.93393276880, -74.01960000000)"
River Street Historic District,Rensselaer,06/03/1976,90NR00987,-73.6941,42.7304829721,"(42.73048297210, -73.69410000000)"
Albany Street Historic District,Madison,10/10/1978,90NR01445,-75.8551,42.9297005459,"(42.92970054590, -75.85510000000)"
South Street Seaport Historic District,New York,12/12/1978,90NR00940,-74.0022,40.7068912495,"(40.70689124950, -74.00220000000)"
St. Mark's Historic District,New York,11/13/1974,90NR00910,-73.9884,40.730430518,"(40.73043051800, -73.98840000000)"
Mill Street-North Clover Street Historic District,Dutchess,02/07/1972,90NR00369,-73.9329,41.7067291561,"(41.70672915610, -73.93290000000)"
Downtown Ossining Historic District,Westchester,08/09/1989,90NR03136,-73.8604,41.1607149918,"(41.16071499180, -73.86040000000)"
Aquinas Institute,Monroe,06/08/1989,90NR03026,-77.6406,43.1876186999,"(43.18761869990, -77.64060000000)"
Lake George Avenue Historic District,Essex,06/16/1989,90NR02939,-73.4288,43.8453783066,"(43.84537830660, -73.42880000000)"
Amherst Avenue Historic District,Essex,06/16/1989,90NR02938,-73.4256,43.843940792,"(43.84394079200, -73.42560000000)"
Greenport Railroad Complex,Suffolk,07/20/1989,90NR01923,-72.3632,41.0996841908,"(41.09968419080, -72.36320000000)"
Markham Cobblestone Farmhouse and Barn Complex,Livingston,08/13/1989,90NR01362,-77.6356,42.9321281077,"(42.93212810770, -77.63560000000)"
Ganoung Cobblestone Farmhouse,Livingston,08/31/1989,90NR01358,-77.6611,42.8632771453,"(42.86327714530, -77.66110000000)"
"Moses, Ogilvie, Farmhouse",Livingston,08/31/1989,90NR01365,-77.5991,42.8930203038,"(42.89302030380, -77.59910000000)"
Clark Farm Complex,Livingston,08/31/1989,90NR01357,-77.5929,42.903621155,"(42.90362115500, -77.59290000000)"
"Hudson River State Hospital, Main Building",Dutchess,06/30/1989,94NR00622,-73.9284,41.7326370956,"(41.73263709560, -73.92840000000)"
Windswept Farm,Dutchess,09/07/1989,90NR03305,-73.8044,41.8520838913,"(41.85208389130, -73.80440000000)"
Resseguie Farm,Jefferson,10/18/1989,90NR01139,-76.0414,43.9352921428,"(43.93529214280, -76.04140000000)"
Shore Farm,Jefferson,10/18/1989,90NR01141,-76.1023,43.9582101722,"(43.95821017220, -76.10230000000)"
Conklin Farm,Jefferson,10/18/1989,90NR01135,-75.991,43.9851598371,"(43.98515983710, -75.99100000000)"
Antoinette Louisa Brown Blackwell Childhood Home,Monroe,11/16/1989,90NR03298,-77.5996,43.0517032257,"(43.05170322570, -77.59960000000)"
"Lafevre, John A., House and School",Ulster,11/16/1989,95NR00835,-74.1201,41.6973959099,"(41.69739590990, -74.12010000000)"
Tappan Historic District,Rockland,04/26/1990,90NR03263,-73.949,41.0228691393,"(41.02286913930, -73.94900000000)"
Neiderhurst,Rockland,07/12/1990,90NR03077,-73.9076,41.0098851875,"(41.00988518750, -73.90760000000)"
Seven Oaks,Rockland,07/12/1990,90NR03079,-73.9088,41.007370774,"(41.00737077400, -73.90880000000)"
Stony Brook Grist Mill,Suffolk,08/03/1990,91NR00050,-73.146,40.914065042,"(40.91406504200, -73.14600000000)"
Wyandanch Club Historic District,Suffolk,08/03/1990,93NR00518,-73.2264,40.8515571063,"(40.85155710630, -73.22640000000)"
Getman Farmhouse,Jefferson,09/06/1990,90NR02997,-76.2733,43.9755645541,"(43.97556455410, -76.27330000000)"
Lance Farm,Jefferson,09/06/1990,90NR02998,-76.2593,43.9815599772,"(43.98155997720, -76.25930000000)"
Wilcox Farmhouse,Jefferson,09/06/1990,90NR03009,-76.2565,44.0593168268,"(44.05931682680, -76.25650000000)"
Chaumont Historic District,Jefferson,09/06/1990,90NR03013,-76.1328,44.0678469238,"(44.06784692380, -76.13280000000)"
Point Salubrious Historic District,Jefferson,09/06/1990,90NR03001,-76.1551,44.0428340424,"(44.04283404240, -76.15510000000)"
Hiddenhurst,Dutchess,02/21/1991,90NR03292,-73.511,41.8973419629,"(41.89734196290, -73.51100000000)"
"Davis, Phineas, Farmstead",Oswego,06/20/1991,91NR00022,-76.2266,43.4653855104,"(43.46538551040, -76.22660000000)"
Stillman Farmstead,Oswego,06/20/1991,91NR00023,-76.1628,43.4593603382,"(43.45936033820, -76.16280000000)"
Mexico Village Historic District,Oswego,06/20/1991,91NR00017,-76.2289,43.4584251892,"(43.45842518920, -76.22890000000)"
Old Trees,Madison,07/15/1991,91NR00145,-75.877,42.9169873292,"(42.91698732920, -75.87700000000)"
Shattuck House,Madison,07/15/1991,91NR00147,-75.8873,42.9712189284,"(42.97121892840, -75.88730000000)"
Roslyn Cemetery,Nassau,10/28/1991,91NR00011,-73.6318,40.8093806356,"(40.80938063560, -73.63180000000)"
Slack Farmstead,Oswego,11/14/1991,91NR00031,-76.1848,43.4520917849,"(43.45209178490, -76.18480000000)"
Thayer Farmstead,Oswego,11/14/1991,91NR00029,-76.2261,43.4533077768,"(43.45330777680, -76.22610000000)"
Manhattan Ave. W. 120th-123rd Streets Historic District,New York,01/17/1992,91NR00292,-73.9547,40.8089086929,"(40.80890869290, -73.95470000000)"
Bates Cobblestone Farmhouse,Yates,05/11/1992,92NR00311,-77.2732,42.7597187168,"(42.75971871680, -77.27320000000)"
William Nichols Cobblestone Farmhouse,Yates,05/11/1992,92NR00313,-77.0393,42.7604386314,"(42.76043863140, -77.03930000000)"
Angus Cobblestone Farmhouse and Barn Complex,Yates,05/11/1992,92NR00316,-76.9743,42.7342600675,"(42.73426006750, -76.97430000000)"
Young-Leach Cobblestone Farmhouse and Barn Complex,Yates,05/11/1992,92NR00315,-76.9389,42.6379230985,"(42.63792309850, -76.93890000000)"
Dr. Henry Spence Cobblestone Farmhouse,Yates,05/11/1992,92NR00317,-76.9464,42.5561383368,"(42.55613833680, -76.94640000000)"
Snyder Estate Natural Cement Historic District,Ulster,06/09/1992,92NR00352,-74.0943,41.8475248077,"(41.84752480770, -74.09430000000)"
Church Street Historic District,Franklin,11/02/1987,90NR02958,-74.1291,44.3270474032,"(44.32704740320, -74.12910000000)"
Cottage Row Historic District,Franklin,11/02/1987,90NR02961,-74.133,44.3332172625,"(44.33321726250, -74.13300000000)"
Highland Park Historic District,Essex,11/06/1992,90NR02926,-74.1246,44.3348966934,"(44.33489669340, -74.12460000000)"
South Worcester Historic District,Otsego,11/05/1992,91NR03367,-74.7552,42.5176696869,"(42.51766968690, -74.75520000000)"
Pratt Rock Park,Greene,12/10/1992,92NR00413,-74.4104,42.312088816,"(42.31208881600, -74.41040000000)"
"Hull, Warren, House",Erie,05/11/1992,92NR00344,-78.6221,42.9469412249,"(42.94694122490, -78.62210000000)"
Lefferts Manor Historic District,Kings,05/18/1992,91NR00014,-73.9564,40.6598466413,"(40.65984664130, -73.95640000000)"
Cornell Heights Historic District,Tompkins,09/14/1989,90NR02267,-76.4869,42.4552916222,"(42.45529162220, -76.48690000000)"
Atlantic Avenue Tunnel,Kings,09/07/1989,90NR03137,-73.9953,40.690628097,"(40.69062809700, -73.99530000000)"
Stephenson/Frink Farm,Jefferson,10/18/1989,90NR01144,-76.0687,43.9472883138,"(43.94728831380, -76.06870000000)"
Mechanicville Hydroelectric Plant,Saratoga,11/13/1989,91NR00034,-73.6782,42.8771910528,"(42.87719105280, -73.67820000000)"
Rock Ledge,Dutchess,11/28/1989,90NR03304,-73.8946,41.8966027206,"(41.89660272060, -73.89460000000)"
Sloan Cottage,Franklin,11/06/1992,90NR02992,-74.1355,44.3225663965,"(44.32256639650, -74.13550000000)"
South Street Area Historic District,Cayuga,03/09/1991,90NR03293,-76.5655,42.9240063594,"(42.92400635940, -76.56550000000)"
Seneca Falls Village Historic District,Seneca,04/05/1991,90NR03294,-76.7943,42.9138624493,"(42.91386244930, -76.79430000000)"
Red Mill Farm,Oswego,11/14/1991,91NR00018,-76.1453,43.4258577183,"(43.42585771830, -76.14530000000)"
Ellicottville Historic District,Cattaraugus,08/23/1991,91NR00032,-78.6735,42.2749465794,"(42.27494657940, -78.67350000000)"
